jwat	jwlt	kqat	jdah
otweyowa	otwetowa	oydeyoea	oddeyowa
oduny	odunyn	oduht	ldufy
nikolaiti	nakolaiti	nikomaitn	nikolaifo
waragi	waragz	wafsgj	satagi
wulaggo	culaggo	wuoaugo	wyiavgo
iniag	iniao	ijiag	lnusg
yeyone	beyone	tfyohe	yeyonr
mola	mula	yola	mola
amotowu	amotowug	amotiwu	shofowu
bitto	jitto	bitbo	hityk
alakka	alakka	zmakja	wlakkw
adagi-ni	adagi-nir	adsgk-gi	awafi-nj
abino	abinol	avkno	abjnp
wuyelo	wuyemo	ryyelo	aujeio
odobe	obobe	odonf	ldohe
berre	bepre	bdree	behre
otiro	ztiro	oyuro	oturj
yeyoni	ypyoni	yeykbo	yeyono
kilaci	kilzci	uilqsi	kumaco
madwo	madwor	hadwo	mwwwo
gangge	uangge	hxngge	tsggge
olaa	olua	omsa	olaz
gidoŋa	gidlŋa	gidlŋx	glroŋx
ulle	ulze	uplf	ullx
cwic	cgic	caid	cslc
akuura	aeuura	ajuufa	ajuyra
pill	fill	mill	pkol
wuwoto	wuzoto	ekworo	wkwotl
nenowu	necowu	nfnown	jenkwh
cutte	vutte	vuttw	cgfte
'	y	'	'
mabup	mabhp	jabyp	iabip
lakwat	lakwkt	pqkdat	lamaat
owaa	osaa	idaa	pwaa
bul	byl	hul	fum
anyut	anyutz	xnyit	xmyut
opitte	opitta	oligte	lpitge
gugrerro	gugrerrog	hugrerfo	fugxerro
akwany	akwanyu	aowwnj	auwany
cokki	cokkio	cooku	cpkko
oreggo	oregho	otetyo	ogfvgo
tucone	wucone	ticojf	rjcone
acwiny	acwisy	wswigy	scdint
noggogi	noggogib	nogjogo	jiggigi
kerapoli	serapoli	uerzppli	kwrwpolk
guyako	wuyako	fiuako	gutajo
ebikwaŋ	ebiswaŋ	egiiqaŋ	ebkkwaŋ
kaal	kaale	kaxp	kqap
ngatte	ngaste	ngqttf	ngatgd
lodi	lodi	modo	lodk
gutyero	gutyerb	gutyefo	rutyego
guŋe	guŋev	fuŋe	guŋs
aywe	anwe	ahww	ayse
ken	kev	kwn	len
mapud	mopud	msoud	mapjx
rim	rio	dim	rin
ojwirro	ojlirro	ojaorro	ojqirtk
abwola	abwtla	abaoka	zbwolx
gupore	gupore	buoore	gkiore
mwodde	mwodge	mwiqde	mwydde
otong	otonk	otinh	itojg
lapyem	lapynm	laphem	lajyem
lacuc-ci	lacue-ci	mwcud-ci	laxyc-ci
mak	xak	mwk	nau
purugia	xurugia	kurugia	pyrjgis
bolone	bofone	bolobc	nooonf
amunynya	amungnya	qkunyhya	smunknya
twinynye	tuinynye	twigynye	tsinynyd
pacone	paconw	kxfone	pafknr
oboye	ohoye	ibpye	pbiyw
gukwero-ni	gunwero-ni	nukwsgo-ni	gkkweeo-nl
gicoone	gicfone	ricoont	gicopng
jolle	jqlle	jklld	jooiw
olyel	olyei	oluek	olhek
wudoŋo	wudoŋop	wjeoŋo	wudoŋi
rammo	rambo	tamml	dsmmo
jok	jokv	uok	mkk
giyuyo	giyuyf	riyuyi	viyhyk
kumu	kumug	oumj	juju
wabicuŋ	aabicuŋ	dahickŋ	szbifuŋ
tim	tiy	tum	tlk
okonywu	okondwu	ouinywk	kkonywj
ocwal	ocwals	ocdsl	icwqm
tyekko	tbekko	tuekkn	ghekko
jub	jjb	jjb	jyg
gitiŋa	pitiŋa	gktlŋa	rifkŋa
lapik	aapik	lapun	lwoin
dig	digl	dug	djg
owinyo	owinyf	pqunyo	owohyp
io	ro	io	ii
gudongo	pudongo	gudpnyk	gudontl
macalo	macalf	jaczmo	mzdxlo
lalabbe	lalabbey	kxlabbw	lwlabbr
wilo	wdlo	aulo	dill
oromo	oiomo	itomo	oronl
jwiine	kwiine	jdjkne	jdiuhe
yany	yeny	ysny	uamy
oburo	obaro	oturo	iguro
lukwo	lmkwo	lupwo	luowk
gic	gici	fic	mic
gwinyo	gwinuo	rwivyo	gqinyo
tulle	talle	tiple	tulog
arwot	frwot	zfwot	agwog
tarwaŋ-ŋi	tarwlŋ-ŋi	yarqaŋ-ŋk	tsrdaŋ-ŋl
laticce-nu	laticce-nue	laticce-mk	lsticce-nk
awinyi	awimyi	awinuk	awijtj
none	nonz	monr	nlne
calk	cnlk	xalj	fapk
abam	nbam	absm	abzn
labalagoni	tabalagoni	labwlaglbi	lqbalaglnu
bolle	bolxe	bllke	bklle
ocelle	oielle	izelle	pcfkle
dongwa	dongwab	eongew	fongwa
widi	wydi	widi	aidl
wuŋabe	wuuabe	wuŋanw	wuŋave
giyomo	giyimo	bigimo	giykjp
dwir	dwii	rwif	dwir
gingoro	tingoro	gijvogo	gongogo
abebino	aeebino	ahrbinp	afenuno
lorry	lxrry	lkrdy	lkrrj
guŋabo	guuabo	vuŋanp	giŋabo
gutengge	gutenggeb	futenhgd	ghyemgge
awok	awpk	aakk	awok
awinya	awznya	zdinua	awinya
biwil	biwsl	bnwil	giqil
lwaotte	lwaottb	lwaorfe	lwaofrf
gipwony	gippony	fupwong	glpwohy
nwengge	nwelgge	naengre	heengge
magoro	xagoro	mqnoeo	msforo
woko	wokos	siko	eiko
piro	pirh	kieo	pido
guranynye	xuranynye	yurqnynyw	gurxnynhe
woo	wool	wlo	wol
wakwo	wamwo	walwl	aakdo
ibiwaco	ibiwaco	kbuwacp	obkwaco
wutero	wuteron	dutexo	dutwro
ans	ansc	ana	ens
aboyo	abvyo	abpuo	zbkyo
alwobba	alwobbaw	qmwovba	apwpbga
lakalatwee	aakalatwee	kakzlatsee	lakalarwec
wacwalgi	wvcwalgi	wavwaobi	wwcdalgl
orine	orize	ofije	oroje
yenya	yenyh	ywnya	yrbga
otenyogi	otenyogh	otznyogj	ogegyogi
wugerro	wugeuro	wygdrrk	wigfgro
ocikko	ocskko	kcuuko	ocibko
etii	ptii	wrii	etii
auma	aqma	xuja	qima
oturro	otirro	orugri	otursk
umgi	umgh	yjgi	umgn
ologone	ologonw	ologojv	opofone
atweyo	ataeyo	atqejp	atwwto
ikwanygi	ikwanygiy	kkwxnhgi	iowqnjgi
apoo	apeo	aplo	aloo
ebeddo	exeddo	wbsdfo	ebesdo
jak	jrk	uak	isk
magi	mpgi	mabl	mqgi
gilyello	gilyellok	gilyelpk	giljwllo
komdairekta	kotdairekta	jlmcairekta	kpndakrekta
gari	gaai	gsrk	garp
wugwokke	wutwokke	wurdokkf	whrwonke
aŋagi	aŋagv	aŋsni	aŋzgl
kinne	kinre	minhe	kignr
gibologi	gibtlogi	gibopogi	rigologj
gibitoro	gibitbro	gibmtoeo	givihkro
lakili	lakilii	iamilk	lauklk
gunyware	gunywhre	binywaee	bunywafe
kakwitte	kabwitte	kanwimte	kakwitts
calem	calemn	vwlem	cwlej
ngakko	ngakka	ggakko	ngaonp
tenggo	nenggo	tdnggl	hengnp
legga	leggj	iegga	pfgra
econe	eeone	ecogd	fclnf
watiŋo	wayiŋo	watiŋl	eatiŋp
gikata	gikasa	vikatd	gikats
adwogo	adwogoy	aveogp	adepgo
onat	ondt	onau	onar
wabityeko	wabitheko	dabityeko	wabifywko
ngiyo	ngzyo	mgito	nflyo
tegge	tggge	hegye	twgga
gibileyo	gieileyo	fibjleyk	gibimryo
tidi	tidiq	tiri	towi
wanyak	wanwak	wxhyak	waneak
ia	ua	ia	ia
giŋolo	giholo	giŋoli	fiŋolp
guur	gjur	vuir	ghuf
wanyiku	wanysku	sanykmu	samyiku
obiri	obirix	kbiru	pbkru
anenni	andnni	ahfnnu	amfnni
woto	wouo	soyo	sito
lokkene	loskene	lokkeye	lokkxne
bolli	bollin	bpllo	nollo
nyonne	nyonnex	hyonnd	hypnje
politik	politxk	klljtik	ppkitik
otango	otangoe	otshgo	otanyl
cul	mul	cil	fuo
obiya	obiwa	iboya	ktiya
mucoro	mucorok	mucltl	muaogo
lapolo	lapllo	laoomi	lapopo
titta	titts	hitts	tigtz
kwanni	kwannig	kwanmi	keanni
ginenno	gsnenno	binejmo	gibennp
ngommo	ngommoy	mgkmmo	nfpmmp
oywek	yywek	ogweo	oreek
ge	gea	ge	be
lumiŋ	lumrŋ	ljmiŋ	kumkŋ
ata	ate	ats	aga
aleluya	albluya	qieluys	xlrouya
bibino-ni	bibono-ni	bivino-ni	hibino-ny
ijuk	ijud	ojum	ijuh
mutu	mutm	mjru	mitu
kenkeria	kenkerba	krnksria	kenkeroz
gikette	gikethe	gkoetts	glurtte
alokaloka	alokalona	zlpkaloka	alokslopa
tin	ain	tij	gin
gigerro	gigewro	gifdrto	nigsrrk
wutitta	wutitna	whritts	ejtitya
wumyel	lumyel	qjmyei	wumyfi
yokkone	zokkone	yojklme	ylknkne
nyingge	nyinoge	nmongge	ntunggd
mic	ric	mlc	nic
itye	ityr	ifge	utje
wupyem	wuhyem	wuiydm	eupuem
onek	oeek	ogei	omdk
lwal	lwan	owal	mwal
ratiline	ratitine	ratilmje	ratiliba
pirri	pirui	pjrru	oigfi
madit	madit	jzdit	nasit
wkii	wkiil	skiu	elii
jebedayo	jemedayo	jeberquo	jebrdayl
wangga	rangga	wahhha	ezngga
munynyogi	munynyogu	kubynyogi	munynyogi
aloki	alokw	alkku	anoni
giballo	gibaldo	huballi	gibaipp
ocuur	zcuur	ocjyr	ocuud
baro	bako	bwrp	fzro
lanebi	lalebi	lsnegi	landbl
cwiyone	cwfyone	caiyogd	cwiyobe
aboro	abmro	zbogo	abogk
jwil	jkil	uwim	jwil
ociro	ociao	iciro	kcjro
pata	xata	kaha	para
makatto	makftto	majxgto	manxttl
onyoni	onyonio	igyini	ojylno
pwonyogi	pwoncogi	kwonglgi	pwonypgi
biumi	bixmi	bouji	boumj
olowu	olewu	okpwu	imowh
ba	bm	ba	bq
caŋogi	cjŋogi	caŋofl	dzŋogi
turu	turuu	tkdu	tufu
cwinywa-ni	cwinyxa-ni	swlnywa-bi	cwunywa-ni
lugrik	luglik	lugxlk	kugrig
waŋeye	waŋeyed	wxŋeud	waŋfge
korremada	korremdda	korrejxsa	korremsra
mutimme-ni	mutimle-ni	mufimmd-ji	mytihme-mi
gwee	gweek	nwfe	gwdd
tyenwa	tyvnwa	ygdnwa	fyvnwa
ajog	amog	wjpg	aypg
del	ddl	dsl	dwk
lwala	lvala	iwwla	lwalq
beeljebul	peeljebul	bdeljegjl	beeljeful
ryemmo	rybmmo	djenmo	fyegmo
cumar	cufar	cuhwr	cunwr
gwokogi	xwokogi	hqokkgi	nwokohi
lageddo	lagehdo	layscdo	kagsddo
liŋ	liŋd	miŋ	kkŋ
odony	odonyo	odkhy	mxony
lawoti	lawtti	ldwkti	lawoyk
lakwele-ni	lzkwele-ni	lakqele-mj	lakaele-ni
wucok	wuuok	wuxlk	wugok
kaka	kaca	mala	kwua
purupuru	purupuau	pjrhpurk	pkfukuru
giwinyogi	uiwinyogi	giwunyjgi	giaknyobi
oroko	orcko	orlkp	propo
ngangge	hgangge	ngahgff	nfxngge
kocam	kocaz	uocan	nlcam
okwir	okjir	okeig	oiwie
cimme	cicme	cijmd	fijms
pipa	pipal	piox	pola
cikgi	wikgi	ciogl	ciigi
Ŋo	Ŋr	Ŋo	Ŋo
ocorro	ocorrk	ofotro	oxorfo
otimwu	otimsu	ktimwu	otkmwj
biweko	biweqo	gieeio	budekp
opado	opsdo	okxdo	koado
nyen	nyej	nhfn	hywn
gikwanya	mikwanya	jiowanya	gokeanys
tadayo	tadyyo	tasamo	tadsno
mone	gone	mpns	honf
ngido	ngidos	ngivl	ggido
bwogo	bwjgo	nwogl	hwlvo
kacammo	kavammo	uacqmmp	kadajjo
kwirgi	ywirgi	kwirgo	kwirvi
kolocai	kolocaii	komicak	molixai
ditta	ditth	qitta	eiftq
bicu	bycu	fidu	bixy
nyaani	nyaani	nyaahi	mhaagi
lukikone	lukikzne	lukiionw	luiikonw
giwerro	niwerro	giwerfk	gowerrl
otit	otita	ktif	orkt
bito	bitox	fkto	niho
loya	lota	moua	loyw
wabicito	wabiciso	wabidirk	wavjckto
lamuro	lamurv	msmugo	lqmuro
guero	guerow	gherp	fueti
geena	geesa	gerba	gcega
laten	latpn	larsn	lwtfh
bimon	bimone	bomon	himkn
pida	pidal	pisx	kidq
gipeto	gipemo	vopetp	gipsno
bkiwogo	bkiwogoj	gkisogo	gkosogo
abityeko	abityekn	abifydko	abityeko
meegiwu	meegiwuk	mswgiwy	mesgudu
nallo	nalfo	nwllp	jailo
wanoŋo	wanoŋox	wanoŋm	wanoŋo
capira	xapira	capirw	cskira
gilwoŋo	gilwovo	vilwlŋk	gjleoŋo
lwokogi	lwokogio	lwpkjgi	leologi
luut	liut	kyut	lhht
wangni	wangnil	eamgnl	dqngni
ojaar	ojyar	ljqar	kkaar
raba	rabj	taba	dzba
jukke	jmkke	iukue	jukkd
guryeme	guryeme	vuryrmw	guryeue
laliŋ	laliŋk	kaluŋ	lsliŋ
yunibaciti	yunsbaciti	ylnibacuti	yunibqxoti
pacona	payona	paxona	kacpna
nyunynyo	nyunynro	fyknynyo	nhyntnyo
olorro	olorro	piorgo	olodeo
gayi	geyi	gato	gqti
drum	urum	drlm	druu
acia	acha	atia	scja
tobi	twbi	togu	yogi
waciko	wacikoi	wacjkl	wsciuo
cwii	cwli	cdli	cwoo
kweddgi	kwexdgi	kaqddgi	ksqddgi
oboo	oxoo	kbpo	ovol
okwero	okweto	kiwefo	okwerp
onongo	onnngo	ojoggi	inlngo
koynnyo	kofnnyo	koyjngo	koujnyo
atammoni	atawmoni	amwmmoni	atqmmuni
jot	joty	jor	yog
tony	tonyh	gonj	goby
gitittigi	gitistigi	yigittigi	gltihtigj
ogamo	ogkmo	lramo	krajo
lwob	wwob	ldkb	lwog
gutero	vutero	gjtwdo	giterp
temmone	temmole	temmojt	hemmmne
ngatine	ngotine	ngatind	ngxtijr
niki	nikia	nino	nino
gutit	gutitt	gitih	gutjt
wucak	wubak	wlcak	wjcak
ogwoke	jgwoke	ogqkke	lhwoje
laywaa	laywaap	jaywaa	lwywaa
twar	xwar	twas	tdar
jacint	jaoint	jacjne	jzcugt
opego-gu	opbgo-gu	kpwgo-gk	ipsgo-bu
gubaro	gubarow	gobxro	ghbark
ewac	ewdc	esac	rwac
giyubbogi	giyubrogi	ruyuvbogi	giyybbogk
mayo	mtyo	nayk	mxyp
lakwar	lakcar	oauwaf	lqkwar
gijolowu	gijolowu	bijolpwu	gkjoiowu
wuŋolo-ni	whŋolo-ni	shŋolo-ji	ekŋilo-ni
gwinynyo	gwinynyos	gqinymyi	gwunynto
tutu	txtu	tuyj	tuyy
pyem	pyemo	pyei	pyfj
tubbe	tubie	tivbe	rkbbe
wabibwot	wabiqwot	wavibwlr	wsbobwit
wujole	wujola	wyjole	eujpoe
wuwinye	wuwinyep	eudinyf	wuwinya
obwola	obwowa	obspla	obdolq
ocwiny	ocwiwy	ovwlnt	osqiby
winyone	wwnyone	wkhyohe	singonw
ature	ature	atugd	ahurr
biyubo	bicubo	nihubi	viyuvo
acok	acxk	zcok	acom
ocweyogi	ocweyoti	ovweyogi	ocsdyofi
udu	udq	udh	udy
nonggone	ronggone	nongnons	hohggohe
anyayo	anyaya	znyatp	qbjayo
citefano	qitefano	citfnano	fitefano
luurro	luurrk	lhugto	lyifro
gki	gkin	gkj	gkj
konygi	kovygi	ipnygk	konnri
jeng	jing	jcng	heng
gilammo	gilammk	yilqhmo	gklakmo
ribbe	ribbeq	dibhe	rkbhe
tinoni	tinonia	tugkni	tunomi
kwerre	dwerre	kserre	keeerd
nekogi	neqogi	nwkonu	nekldi
madyak	madyak	kavjak	mxdysk
daudi	daudik	raydi	rqudo
lega	legz	lehz	prga
wuca	zuca	wycz	wjca
gibikwanyo	gibpkwanyo	gjbiksanyl	gibijwanjo
ibiloyo	ixiloyo	ibiooyo	ibupouo
nimpa	nihpa	mihpa	buhpa
giyikgi	giyiqgi	giyjkyj	gkgiogi
gaŋwa	gagwa	gaŋwx	gaŋsa
obolliwu	obdlliwu	obomlksu	ofoplidu
lare	ldre	paee	kare
wukonya	wukohya	wukujya	wuuomyx
juŋ	jpŋ	kuŋ	juŋ
gibilwoŋi	gybilwoŋi	fifimwoŋi	hibolwoŋi
tuurro	tufrro	hiuero	tuhfrk
wulub	wulubd	wulnb	wukjb
gikwalo	rikwalo	hlkealo	gkkwamo
oyabo	oygbo	kyano	oyqyo
adil	adilc	adil	zdil
gotte	gottep	goyye	gotfs
ludok	ludlk	luvon	oydik
moro	xoro	yoro	joro
joe	ooe	jle	jpe
abar-wic-leela	abar-wic-weela	abwr-eic-lewlw	zfar-wid-lerla
gibiwinyo	gibiwinvo	gibiqigyi	gkviainyo
oweka	ojeka	oweka	owrua
ginywala	ginywjla	ginyexls	ginywalq
oneciporo	xneciporo	inecipogo	pnefkporo
bitayogi	bitxyogi	fiyaypgi	biyayonj
ilekko	ilenko	ileylo	ilekkm
gukwany	gnkwany	gikrany	bhkqany
wakkewa	wakkewaz	eakkrda	wzkjesa
itek	itey	ltwk	itwk
wagamo	wrgamo	eayqmo	aqgsmo
kwoni	kwonij	kwkbi	isoni
ogak	igak	ovwk	onzk
ibilwoko	ibilwoka	ibilepkk	ibikdoko
giyetowa	giyetowg	giuegoda	giudtlwa
madaen	modaen	mwsaen	msvaen
nerea	nersa	nerew	nedes
bo	bs	bo	bo
ogeŋowu	ogeŋowua	pgeŋosy	ogeŋowi
omatti	ojatti	ojxgti	imabti
omwolle	omwollez	kkwolie	kmqklle
orukki	orukki	ogikui	orinki
icommo	icommi	ifpmmi	icpmhk
omotowu	ofotowu	pmktlwu	kmitowu
flow	floe	cllw	foow
corongi	cozongi	vofomgi	cotongo
ogali	cgali	pgsli	ogalj
oding	odong	odihv	pdomg
waye	iaye	wzyf	wajd
gituddo	lituddo	gifudwk	hiyucdo
gipokko	ggpokko	hipokkl	gikloko
nogge	nogee	nlggd	nogga
oloo	olog	ouoo	omlo
komwa-ni	lomwa-ni	komwa-ni	kphwq-ni
gubutto	gubktto	gmbuttp	gubjttl
gicore	gicoee	gkfpre	gicofe
wabiwaco	wabiwacos	wabiswso	dabjwsco
ipwonnye	jpwonnye	ipwknnyq	ppwonmye
nyal	nyae	nyak	nyxk
otum	owum	otkn	ltym
apenywu	apvnywu	zpenydi	aoehywu
penyo	peyyo	pehyk	oegyo
picidia	pzcidia	lididiw	lodidia
meeggi	memggi	mesvgl	medrgi
raka	raea	rskz	rqka
jer	qer	jet	jrt
cula-nu	cola-nu	fila-nu	culz-hj
orwenyo	orwknyo	oewemyo	orwetyo
ngob	ngob	ngpn	hgob
tar	taro	rar	tag
jeggo	deggo	jsgno	kegfo
oumogi	oumogn	ojkogo	ouhpbi
riggo	riggoj	rkngo	rugvk
iciro	icirw	iciro	icirk
tweyo	twqyo	yweyl	yweho
gityekko	gityekkr	nityekik	githekku
lubaŋawa	lubabawa	ljbaŋawa	kuhaŋswa
lit-ti	lit-tq	lit-yi	mit-ti
di	dif	di	di
raku	rrku	baku	taku
ocako	ocato	pxako	pvakp
rummogi	rumoogi	ruhjlgi	rumhkgi
gibiloyo	gibikoyo	gibiplgo	yiboliyo
moko	mokt	mlno	komo
giomo	gizmo	riono	gioho
rwako	rwakz	rwaoi	rwxko
ajanga	ajangp	auafga	wjanya
gimmitto	gimoitto	nikmitho	gimhotti
cad	cadj	cas	cwf
lalakko	lalskko	lalahkp	oalaioo
lyelgi	lyelgib	lyrlru	oyrlgi
gero	geto	gdrp	beto
ocuko	okuko	ocujp	oxgko
ŋide	ŋtde	ŋive	ŋife
biromogi	bimomogi	burkmogi	birojogu
locwa	lwcwa	kocww	mocqx
wua	wuk	wuq	zua
weddo	weddg	qedro	wexso
ongwecgi	ongwechi	ojbwefgi	obgwexgl
lamaar	lfmaar	lqhasr	lamasf
tekone	tekoneo	teuphe	tekohe
oloko	sloko	olono	ololl
olorre	rlorre	okorts	olkrre
baar	bcar	bwae	bawt
cinger	cingery	cjngsr	civgdr
mocce	micce	mkxce	mocbf
tyenwu	tyenhu	tjejwy	tyegwu
akemo	akemy	ziemo	akemk
kwano	kwana	nwabo	kwzgk
palabek	pawabek	owiabek	pamsbdk
laminae	lamitae	mamihse	lxminqw
luny	lunym	punt	luby
gigwerrogi	gigrerrogi	gigeertogk	gigwetrigi
aumma	auzma	auhja	aumox
abaane	abasne	sbqzne	abzane
akwinya	akuinya	akwimtz	skainyx
wakwano	wakkano	aaiwank	wxkaano
balaam	balamm	bslash	bakeam
ilwoŋo	ilwono	olwoŋk	ilwoŋl
olang	olanx	olahg	olabm
ywee	yeee	ysew	hwfe
gwirro	mwirro	gqidrl	gaierp
bote-ni	bote-li	botr-ni	bpte-nl
cwiiyo	cwiiyo	cqikyo	cwlkyo
yubbe	yubbef	tubbf	yhbbd
jinne	jinnb	hijne	jihje
reg	rkg	geg	feg
lacwi	lacwig	iavwi	lacwm
olle	tlle	illd	olme
luwalo	luwtlo	luwali	iuwalj
marac	mbrac	nqrac	mdrad
ojiggo	ojigvo	ojivrk	oiiggk
twatwali	twatxali	twqfwali	tsatwsli
orubbe	orubbev	oguvfe	oruhbw
apar-ri	apad-ri	apsr-el	qpar-ri
luloc	lsloc	juloc	puloc
onyuttigi	ocyuttigi	onyuthpgi	onyuthivi
kwedani	kfedani	kwsvahi	kqffani
yaka	yqka	yaos	yals
gipenynye	gipenynye	bipwnyjye	gipenybye
lagerro	oagerro	lsgdrrk	lagrrrl
tiyone	tipone	fitoje	yiyoye
immo	immox	inno	ommo
ijer	ijir	ijer	kuer
lakayone	lakvyone	kausyone	lqkayohd
ginyutte	ginlutte	blnyktte	ginjuyhe
ryemowa	ryemowo	dgwmowa	ttemiwa
cannegi	cannegs	canneul	cahnwgi
lulweny	lulwwny	lilsenu	lulaehy
ageŋa	wgeŋa	afeŋx	agcŋa
itweerro	itweerroo	itweqrrl	itwewgdo
jaŋe	jaŋem	jsŋe	yaŋe
gumine	gumihe	guiind	vuminw
gitweyo	gmtweyo	gotweto	gjtdeyo
walarre	waldrre	wsoarge	waiatrs
waragawu	watagawu	waragewu	wqragaeu
opyem	opydm	klyem	jpyeh
kacam	kacjm	oscam	kaxam
bicwer	bwcwer	bixeee	biswrf
gukolle	gukoxle	gukkllr	ghkille
cubbu	cubbuf	sugbu	curbu
akinyo	aainyo	aminhi	wkimyo
pwonynye	pwonynyu	pwomynbe	psohynye
kekenwa	kekehwa	oskenwz	kfjenwa
ckidu	ckidue	cjidu	fnidj
gibityekone	grbityekone	gkviryekone	gihityfionr
lacen-ni	lacenwni	lacfj-mi	pacen-nl
lumero	lummro	mujero	ljmeeo
obolo-ni	ofolo-ni	oboli-ni	kbolk-ni
lanyatte	lunyatte	lshyatre	panyatve
giyai	giyai	gitao	gigsi
rutto	ruttw	ruyyo	futco
gudony	gudosy	guqogy	rudonj
irukko	krukko	irungo	iruljo
wawotto	wauotto	wawptto	aawkttk
anoŋ	anoŋm	anoŋ	anoŋ
giunowu	giunoqu	vjunowu	fiunowk
abitito	abititq	abihltk	avjtitl
wuumo	wuuco	ajumo	euuko
een	een	eeh	eek
odero	odhro	lvero	jdsro
welgi	weldi	wrlvi	welvu
timmone	thmmone	timjknr	yikmonf
lyerre	dyerre	ltefre	lyfrgr
okur	okurf	onut	okir
dakika	dakica	wakuma	daoiia
nyekko	nyenko	byekko	nyekki
giyokke	giyekke	gjykkue	gjuokue
gkiii	gkiiih	ghiii	gliii
onyette	tnyette	onhefte	lnywtte
okak	ocak	olsk	ouam
atedda	atcdda	atedda	atesda
waciwil	wacisil	dadiwim	wqckwkl
agabba	agobba	qgafbq	aganba
iwu-ni	iwi-ni	lwu-nj	iwu-bi
weko	weyo	ddko	weno
