khuwakho	khuwarho	uhuwakhj	khuaalho
baloma	baloba	bwlooa	vxmoma
bilime	bilimx	bjlijd	bokime
khaatingula	khautingula	khaztingula	khaahonnulz
khuwosiina	khuwosivna	khuspsiija	khuqosiina
khufuurisila	khufuuxisila	knufuyrisulx	khjvuirisila
bibyakamayo	bvbyakamayo	gihyakwmayo	buvyskamqyo
uwabaloka	gwabaloka	uwabzlolq	uwabwlkka
khukhwitsililisa	khukhwitsilipisa	khkkheitzolipisa	khukhaitsilnkiss
babakhiile	babamhiile	gabaktijle	vavakhkile
babameela	babameelac	bsbaheela	babzmewpa
akhamanyile	akhasanyile	akmamqnhile	aktqmanyipe
ako	akok	ano	akn
sinayonakakho	sinayonakakjo	sinayohakwkmk	ainsyobzkakho
tsasitowele	xsasitowele	hsasitlqele	hwasitkwele
bonakisibwa	bonakiskbwa	bknzjisibwa	bonakisibww
bulesa	bulesm	bklfsz	guldsa
indilamukha	iwdilamukha	indulqmumha	ihdilahykha
sibatsya	sibatsyb	aibarsyw	dibatxya
kumubesemu	kumubeseml	kumyvesfmu	nukufesemu
uwatsya	uwatsyb	udatqys	uwatshs
bibikholekhela	bibikholekwela	bibijgilektela	bubpkhopskhela
alufa	aluaa	akufa	alkfz
akhwiyakhila	akhwiyakhfla	akhwiyakbjoq	akmaiyanhjla
kengeliya	kezgeliya	menhellya	keggeliya
tsonuukha	tsunuukha	tslnkukua	hsonyukya
khuŋaŋasibwa	khuŋaŋasibwar	oguŋeŋasibwa	ubuŋaŋasibww
khakila	khokila	khqoiia	ihakila
khurishiina	khurishiink	onurisjiina	kmhrosmiina
umweekhamweekha	umweekhamteekha	ujqeekhamweeihq	umweekhanweemha
kamakaali	kamakaalg	jamalazli	mahakaaii
khwiibyo	khwiicyo	lhwukbyo	kheiibyl
khwerengekharengekha	khwerengenharengekha	khwejenbekharemgekga	khwwrangskhatenyekha
liliyasibwa	liliiasibwa	lilihasihwq	killyasibda
khwooyo	kqwooyo	kywooyu	knwooyo
muŋoonaŋoonela	muŋoonaqoonela	muŋoogaŋoonwla	hjŋoogaŋoomels
khubasiinga	khubssiinga	nhybaskinga	khugzspinga
n'umwimiilili	n'umwimoilili	n'ukwimiikili	n'umwimiilkpi
shikhalimanyikha	shikhalimanyivha	shikhakimanuikha	dhikgqlimanyioha
kamakoombe	kamakoombep	kxmakoinbe	kamanoombe
wanyoolile	waeyoolile	wsnyoppile	danyoolipf
babamalile	yabamalile	babamsliie	banakalilw
ukholele	urholele	hkuomele	uiholele
likubili	likubili	likkbilj	iikubolj
bamwikyese	bamwikyesr	vamdikyewe	bzmwkkhese
boolele	booleleq	fooieke	boolfla
byakhulya	byakhulda	gyakhukua	byqjhulyx
mahe	vahe	kahw	magw
mumwisaaye	mumwisaayy	himaisaaye	humwiswayd
aŋoonaŋoonela	aŋxonaŋoonela	aŋoonaŋoogelz	aŋoinaŋoojekx
uwabiimbula	uwjbiimbula	uwabiimvumw	uwabolmbula
waniinisile	waniinisize	wanijniskke	waniinlxile
khurekeerese	mhurekeerese	khidelserese	khurekeetssf
khukhwaloma	kqukhwaloma	khujhwsioma	mhuoydaloma
sholelese	sholesese	shopepese	shopfoese
mubabatisa	mubabptisa	mubagafiwa	mjvabatksa
umwonaki	umwonakk	umwonqni	umwknzko
arokelamo	arokeramo	afpkelaml	arokelamk
basalanila	oasalanila	bassianima	baqalankpa
aliwaanayo	aliwalnayo	allwawbayo	aliwxanato
siili	siali	slimi	ziipl
mulilekha	mulisekha	jyliiekha	nulklrkha
khulw'omuseetsa	khulw'omuseotsa	khuld'umuseetsa	kbuiw'omusrftea
wanoma	wbnoma	wanona	wqnonx
shikabilo	shikabqlo	sbimabilo	shikacilo
khukhalaabana	kbukhalaabana	ohukhxlaabans	kjukhaoaanaba
imaanu	imatnu	lmqany	imssnu
abayeetakho	abuyeetakho	abxyeehakho	abaydetskfo
ikhaabonakho	ikhaabonakno	ikvawbonajho	kkhaabonajto
khwiyakhila	khwlyakhila	kywiyalhila	nhwiyakhjla
balikhwombekhelakho	balikhwombekhelakio	valikhdombfkhekamuo	gaiikhwonbwkbelakbo
mulya	mvlya	mulya	mulba
uwamuwonesa	owamuwonesa	uwamudobeea	uwxkuwonesa
utaambakho	utaambakhos	ytaamvauho	utasmbakhl
yeremiya	yereriya	yegemiya	yfremjyx
balimwiilamo	balimwiilajo	balinaiilamo	balunwiupamo
babusana	babusyna	nabjsaba	babuxanz
kukhasima	kukkasima	kukhzspma	iikhasima
baaluwa	baalxwa	baaljws	baalkdx
simwibirisa	simwibirisc	simqibirksa	simelviriza
winyukha	winypkha	wimhhkha	wlnjukhq
bibimwakhila	bibimwamhila	bjbikwakhilw	fibimeakmila
tsoosi	tsoosif	teoosi	tsoiso
ashuuse	ashuuseo	asnuuar	zehuuse
ukifuniaka	ukiffniaka	ykkfkniaka	uoifkniakx
ishilamo	ishiyamo	ishilzmu	iwhilano
pisidiya	pisidiua	ojsixiya	kisiziya
bibiramileyo	bitiramileyo	bibjrwjileyo	biburamileyo
nombekhekho	nvmbekhekho	nombgohekho	npmbekhemho
n'ababoolela	n'abablolela	n'ababkioelx	j'zbabooleiw
khumanyikhana	khumanyilhana	kbumanuknhana	kmumanyunhwna
balakiile	baoakiile	bakakiils	bzlzkjile
lukanile	cukanile	lhkanile	kkkanipe
khuborokha	khuborokha	khufogokhq	khjborokha
khubakhalasa	khubakhalasu	kmubwkhzpasa	khubajyaiasa
khukhwakaanila	khukhwakaanfla	khukhwakxxhiia	khkkywwkaqnika
tsitsikhongelesa	tsitsikhongelesu	tsirsiihonfdlesw	tsitsikmongeleqw
atsangililwa	atiangililwa	afwangilklwa	atdangllilwa
s'alekhe	s'mlekhe	s'alekbs	s'apekhs
ahaaba	ahaabax	ahaajs	ahzabs
shishaalo	shishazlo	qhixhqalo	shishqakk
bawa	bgwa	bsww	bswa
n'ukhole	n'ukbole	h'ukmolr	n'ukuopd
mwanya	mwajya	nwagya	mwagyx
babakhwonakisila	babakhwonakisiua	vafqknwonakisula	babxkhwlnaoislla
khuura	khuuza	khiyga	krujra
s'uwulila	s'uwulira	s'uwulims	s'kaulila
eyikaane	eyikaank	djikaand	etkkaanr
araambisa	araambisu	araanfida	arwajbusa
is'ali	is'lli	us'sli	ls'aoi
anywe	anybe	qhywe	anyqv
tsimbaaso	tsimmaaso	tskmbxsso	tsihbqaco
shiisiwemo	shxisiwemo	smiisjwsmo	ehiisieemo
mwakaanisatsake	mwakaanisatcake	mqakaamisateaye	mdaoaanisxtxwke
mbakhusaaba	vbakhusaaba	mbqkhuxazba	nbskhuswwba
khumalakho	keumalakho	mhuualakho	kbumamakhp
kyeefwe	kseefwe	kyesfwf	jyerfde
wamukoboselayo	wamutoboselayo	famuliboselayo	wamuiobkxeoayo
ukhatsya	ukhatsua	jkhaysta	ykhstsys
amanyile	kmanyile	qmanyiid	amanyimw
khubatisibwa	ehubatisibwa	jhuhauisibwa	lhubsyisibwa
kamasaafu	damasaafu	kajqsaagu	kamaazafu
wamenyayo	wamenyajo	qamrnyayl	dsmenyaho
weyawukhanisamo	weyawukhanxsamo	wryawukjanisxmo	seyswukyznisamo
babamulilila	babgmulilila	bagxmuljkila	babamjlikjlx
ku	kf	ku	ku
pontiyo	pontiyov	konfkyo	kontlyp
bibyonako	bibylnako	blbtonakl	bibtonqjo
umwiiri	umwiiriw	unwiiri	ukwiifi
batsemakho	batsemakhoc	batsemakjk	batcenakho
batahakho	batxhakho	bwtabqkho	natahwkyo
bewuuma	bewuuma	hfwuumx	bfwukmx
shisiindi	shisiindm	syisiihdu	dhisiindi
tii	tiig	tij	tij
nabikholela	nabikholelax	navikmolfla	jabiohklfla
wafwiila	wafwkila	zafwkila	wagwiils
khutengaala	khuxengaala	kgutehgwala	phutengwala
akhushimanya	zkhushimanya	qkhjshimamja	qkhuwhimanya
s'andifukiilisile	s'andiffkiilisile	s'anfogukoilisile	s'andifukiilisiow
babakhuboolele	babakhuboolmle	bqbqohuboolepe	hxnauhuboolele
khumoka	khumoha	kmuhokq	ntunoka
kawulilikha	kawulildkha	kawulipuuha	kawumikjkha
khwabalomela	khwabalomelv	kgwwbspomela	khwagzlobela
khwikhoyele	khwikhoyele	itwikmoyele	khwikhpywoe
khakhulye	khakaulye	kyamuulye	nbakhuiye
shatsana	shaxsana	zhxtsanz	shatsaha
s'ulifuniakakho	s'ulifuuiakakho	s'ulifunlxkaiho	s'ipituniakakhk
uwamba	unamba	kwamba	uwwkba
n'olayo	n'olayor	j'olzyo	n'olzyo
mweyikamo	mwuyikamo	mwryokamk	mweyluako
usaalile	usaalilo	ufaalime	uzaalild
uwanyoowa	uwanyoova	uwanylowa	uwantokwa
wikyeleese	wikyeleeses	dikyelfece	qikhemeese
bibyaakha	bibyaaksa	fjbywakha	bibyaamva
bamuwambiile	bamuwambiwle	bzmussmbkile	bamudsmbiile
mubirisatsake	mubirisatsakr	muhkrisatsakw	muvirisaysakd
khusuubila	khusuubila	knusuuhioa	khusjibjla
khulaambisakho	khulaambisaklo	lhulsambisqkho	nhulaakbjsakho
shafuumbibwile	shafuumbibwhle	sgwguumbigwile	smzfujubibwile
bw'omundu	bw'ompndu	bw'omundk	ba'ohundj
khwambaasakho	khwambaasapho	khewmgsasakho	kuqambaasakjp
lyamwakaanana	lyamwakaangna	lyamwwkaabaka	lyajaakaanaha
abaleekela	abaleekela	abalseofla	abaleekela
untsakaanise	untsakaauise	untszkaxnusf	umtswoaajise
bikholikhe	bikgolikhe	bikholujhs	hikholikyr
elisa	elisl	eiiea	elksz
akhenaanayo	abhenaanayo	akhdnaznayk	xjhenaxnago
balimbonela	balimboneza	baikmbonela	bslombonema
n'ukhwokese	n'ukhwokpse	n'uuhdlkese	n'ukbwimesf
nalolelela	nalolelola	nalilelfla	nalklvlela
andalalila	anyalalila	anvamalilx	xnxalalilz
umufumu	umulumu	umudubu	ukufuku
muryo	muqyo	myrjo	muryj
isundakilisi	isundakilisq	isujdakollci	isundakumico
khumureebaka	khumureebakn	khumyreehxja	kmumueedbala
khakokha	khakopha	khakilta	kuakooha
berekiya	berwkiya	berekihx	befsniya
khukhalibwilayo	khukhalfbwilayo	kbukhaiigqilqyo	mhjihalibdilayo
indyokesanisa	indyokesanisad	unstouesanisa	ijdyomezaniea
s'enjila	ssenjila	s'dnhola	s'enjiks
nimwikhalilikhe	vimwikhalilikhe	nimwikmalpiinhe	nimwikhaliolkhr
musoonda	musfonda	muspkhda	muspomda
asubisa	asubksa	azurisa	xcubica
nakhatiila	fakhatiila	naknatiloa	nakhqtiika
bandi	bawdi	bqndl	bando
seshiba	sbshiba	sfshjna	seshiba
kakaandi	kakaanai	kakwangi	lakaanci
siindinywakho	siindinywakuo	sioneinyeakho	siimdinywakml
shamururirekho	shamurkrirekho	whamjryrieekho	shanurtrurekhl
khusibulana	khusibulanc	khusibylajx	ktuslbjlana
baloba	banoba	balofa	fxloba
arure	xrure	srure	weure
unakhola	uxakhola	unsmhola	umskhola
biryeena	bidyeena	buryefja	biryeqna
mwinjilamo	mwinjilamom	mwinjllamp	mwihjilamo
mulobe	mulwbe	julofd	hulobe
walakila	calakila	wapxklla	ralakola
bwiitsa	baiitsa	fwikgsa	beiktsz
imbonekha	imbokekha	imbphekhs	imyojekha
shamulomele	shamulomcle	shxmkoomele	shakipomele
bayiyawula	baygyawula	bqjiyadula	bsyijawula
n'amwibwakala	n'amwibwakala	g'amwibwskwla	n'zmwlhwakala
yabawo	yacawo	yxbswl	yabazl
lyaakhuloombela	lyaakhuljombela	kyaskhyliombela	lywxihuioonbela
ubonakho	ubxnakho	hhonakjo	ubinslho
bashiiliwo	bashiiliwz	bashjilowl	bashjilieo
uwiliyasa	ubiliyasa	uwiluhaaa	uwilihxsa
kamayingu	kamayinvu	kamwyjmgu	kamayimuu
abo	ado	zbo	abo
khunyalisa	khunyarisa	khuhyxlisx	khjhyslisa
rakabu	rakabus	takabl	rauqfu
bubwase	bubwyse	bkbdaze	bubdaae
kamabisi	kambbisi	jamahisu	oamahisi
khwiilayo	ehwiilayo	jhwjilayp	khwyimayo
mukhasuta	mukhisuta	mukjaduts	mlkhasuta
mukhasimisatsaka	mukhasimisatspka	mukjawimisatsaja	nkkhasljisatsakq
alirobola	alirobsla	alirobkmq	amirobolx
injeenda	injeevda	unjewnwa	ibyeenca
indikho	inpikho	ijdikyp	indimjo
umusaali	umusawli	uhusadli	umhsaali
iba	ibac	uba	iha
uleekela	uleekela	hleejela	hldekema
kumusalaba	kumusakaba	juhusalabs	kumuaalaba
wabekulilawo	wabekulilawm	sxbekglilawo	wafekululawl
wanabilakho	wanabylakho	dwnabjlakho	wwgabimakho
shindishebulila	shindishebulilap	shibdoshdbylioa	shihdichenukilw
bibimuwambakho	babimuwambakho	bihumuwajbalho	bibijuwsmgakhn
abayile	abayilez	abayile	whayiie
khukhwanyoola	khukhwanloola	khukhdanylnla	khukhwangoooa
nakirona	nakivona	bakprona	nakigonx
shimalatana	shimauatana	svimalahana	dhimxkatana
bamwambasilisa	bamwambasilisf	bamwamnxqilksa	vakqambasikiza
barusaka	barusaaa	bxrysaka	varusaks
kumubuufu	kumwbuufu	mumubyueu	jumkbuifu
yikhala	yikhalj	ykkjala	yiuhakz
yonuukhamo	yonuukbamo	ylniukhqmo	yoniukuamp
bili	bilim	vjli	biio
mubone	mubonh	nubomr	jubpne
babaalaangibwa	babaalaangdbwa	bzbaqlaangkgwa	babawlasngibwa
butiili	buziili	bituili	fhtkili
benjila	benjila	beujula	nehyila
khukhomebwa	krukhomebwa	nnukhomebwa	khgohomenwa
geyeena	geyehna	gegcena	yeyeebs
khumulolelela	khumulolelelai	khumkkilekela	kuumuloldlqla
khulaanga	khalaanga	krulaanya	khilaanga
wabamanya	wgbamanya	wavamqbya	wabajanya
sibyaakha	sibmaakha	sibyaaiha	sibyaatha
safira	syfira	sxfidz	qafita
elayo	elafo	rlago	ekayl
mukanaatsake	mdkanaatsake	mukagaatdske	mikanzateakw
khumureeba	khymureeba	khumjreeba	khumuresbx
akhaakhole	akzaakhole	ajhaakukle	auhaaohold
wakwiile	wakwiilo	waoqiild	wqkwiims
bulikho	bylikho	gulkkhi	bulilho
byoole	byoolex	fyollr	bhikle
mulondelelatsake	mulondelelabsake	mupojxflelatsake	nilonvwleoatsake
luboofu	lubsofu	uufoofu	lugoofj
batsakhilila	batsakhililai	gahsakhinila	batsakhilooa
mwimikhe	myimikhe	mwijikge	kwimikhd
bakhosefu	bakhosefup	bakhocsvu	bskhpsecu
khwamulekha	khwvmulekha	kbwamukekhs	khwajklekhw
mwilala	mwilaln	msllala	mwjlslz
biindu	birndu	biincu	bjindy
sutikha	qutikha	sutulna	sutjjhx
enjilila	enjillla	rnkililq	enjilila
khumushuusa	khumushuusl	kyumuxhuusw	khunkshiuxa
esi	esv	ewi	esk
khumwaata	khumzaata	khikwaatz	kmkmwaxta
waabo	waabom	ssabo	wawbo
bubuuma	bubuuya	huvuumq	fubuymw
bitungulu	zitungulu	bjgubgulu	bihunnulu
ayokesa	ayoketa	zyokfsq	ayokeaz
bamwakaanana	bamwakaajana	bamwakasnzna	bamwqkaahqba
yiisatsakamo	yiikatsakamo	yiicatsslajo	uiisatcakaml
wolelesile	wmlelesile	wolslexile	qolelesilw
khoombi	khoombm	kbiomgi	kuoombi
babandaayase	babandaayaye	babwndaayawe	bqbsndxwyase
wayinjila	wahinjila	ewyinjola	sayinjjla
balilila	balililai	fapipila	balihila
khukobosela	kyukobosela	kuykobosfla	khuuobosepz
khukwaarisibwa	khukwaaresibwa	khukqaarjsubwz	kyukwasrlsibsa
ubowa	ubpwa	ibkwa	iboww
ifuniaka	ijuniaka	ifujiaoz	ickniaka
ukona	zkona	kkoja	ulojq
khumukholela	khumukhqlela	khykukgokela	mhukukholela
s'ubona	s'ubonai	e'ufkna	s'ybohs
khuromboola	khuromboolam	lhuromfoooa	kgurokhoola
nengarengekha	nyngarengekha	nengxgdngeoha	nwntarehgekha
khola	kholae	khppa	khilq
bamutuuma	bamutuvma	gamytukma	famutuika
buliwawo	buviwawo	byluwaso	bmlieawo
bubweetsa	bubweetsam	bubeestsw	fubweefss
byoolelele	byooleleleq	byloleleie	bjookelelr
uwaŋoonaŋoona	kwaŋoonaŋoona	uwqŋponxŋooma	uwzŋoonaŋkoma
kimikaati	kamikaati	kimikwqtl	kumluaati
khusiintsila	khusiintjila	ihiwiintsila	khuxiintsilx
wabala	wabfla	wzvapa	axbqla
ukwa	akwa	ukwa	uowx
umunuuli	umunuuli	uhyjuuli	uminuuii
n'araambise	n'araambiseo	n'zraambkse	n'zrsambose
bamuyila	baauyila	gamiyula	bajugila
shibonekhele	shibonekhple	xhiblnekheke	zhiboneibels
alye	alyef	ziye	alhd
iyakhila	iyakbila	igamhilz	lyakhioz
shamwakhilatsaka	shamqakhilatsaka	shamwakhlpxycaka	sjzmwakhulatsska
iyabiimbiwakho	iyabihmbiwakho	ijabiimguwakhp	jyabiihniaakuo
washisaamba	washisaamva	wasnisaamba	washisaxmga
khubakhali	khubakhalid	kguhakhqli	khugakhali
wamulekhakho	wamulekhajho	sajulekhakho	wamumenhqkgo
khubawonesa	khubawonewa	khuhawohwsa	lhubawineqa
sikhwaweebwa	sikhwaweerwa	slohwaeeebsa	dikheqweebwx
lukoongo	lukoongoc	lukoojgo	iikoongo
bebuyililamo	webuyililamo	bebutilklxjo	hebhyulilamo
mwakhalekha	jwakhalekha	msaihaleuha	mwalhcleuha
siyaakha	siyaaeha	skhaakta	siyxakmw
simukana	simukanf	sihynana	xlkukana
usambakho	ugambakho	uzajnakho	ussmbxkhk
bantsikhisa	bantsikhnsa	banteimhisz	baneqikhiea
bibiliwo	eibiliwo	giblkiwo	blbiluwi
n'umuwuli	n'omuwuli	n'umuruii	n'umywupi
sinamumanya	sinamumanyz	sonajuhanya	sunsmumabya
taala	taalaw	txaka	taxkx
kakatiimatiima	lakatiimatiima	nwkatiomatioma	kamstiimdtiimq
nikhola	nikholj	nujholq	nikhohq
n'anomela	n'anomula	n'anojeoa	j'anomfla
mwamamwo	mnamamwo	maamxmwl	mwxmxhwo
mukhonakisa	mukhonakiba	hkkgonakisa	uuknonzkisa
ekhalilikha	ekyalilikha	ekhalullkja	eohqliljkya
bakhukhoma	bqkhukhoma	baumukboma	bqkhukhkna
sibakulisibwamo	sibakulisibwamq	cobakkpusibwamo	slbakklusibsamk
mbaamo	mbpamo	mdaaho	kbaakk
mbulila	moulila	mvilioa	ybulula
khukhandisana	yhukhandisana	nhukhamdicanz	ihuibandisaja
ukabile	uwabile	ukzbkle	ukxfiie
khumumanya	khumumajya	mhimkmanya	khymjmxnya
basheewe	basleewe	basbsdwe	fasheese
khumufuutsakho	kdumufuutsakho	khumufjjrsakjo	knumhfuutaajho
erasto	erasto	efasrk	sgasto
awanyaka	awanyakg	awqgyaka	awagyaka
abakanikhila	abakanzkhila	afskanikhios	qbalabikhioa
ulaambisakho	ulaambiskkho	ulaamvjsakhp	uozamfisakho
nyuma	nyxma	nyuba	njkms
khutaha	khuxaha	kbhtaua	lhitahz
shishamureera	shishamureeray	shksyzmureeta	zhishamurxerx
wakutsya	wakbtsya	wwnutzya	wakuhsga
khufukiilisa	khufukiilioa	kyufhiiiliaa	khufukiuiixs
nalino	nwlino	bapigo	mxlino
ikwe	ikwe	jkwf	mkwe
khulweesho	kaulweesho	khjlweewhp	knulwzesho
besiinde	besbinde	bexiunve	besiinse
abakobolamo	abakobolawo	abalofokamo	abskifolwmo
bafukiiliile	bafukiilikle	bafukiioiiix	bzbukiiliiie
kyakhuwulila	kyakhewulila	nyaknuwulila	kyakjiwhlima
kusaalawe	kusbalawe	ousqalaqe	kuaaalqwe
shifwanikha	shifwadikha	shicwanikjq	shkvwanjkhx
khuutsyakho	khuutsyabho	jyuutsyakmo	khjuhsyakhk
abafusilisa	atafusilisa	abasusilksa	abaeksilisx
indeekele	indeckele	ibdsekdle	ibceekepe
bafuubi	bafuubiw	gsfuuvi	bafuubk
ashinyweesebwa	ashinyweezebwa	ashibywresebqw	azhinjweesefax
babamiinilisibwa	babamoinilisibwa	babamkkniilsibwq	habajijmilisibwa
bakhomyaasa	bajhomyaasa	bakhlmyaxsz	bakhkmjcasa
sela	selu	xelz	selz
bamurumana	bafurumana	hamkrumana	bqmurumsna
bekiitsa	bekiipsa	hekoiysa	vrkuitsa
bubwabawo	bubpabawo	bubeabawo	vubwabawo
kumuleeyi	kumkleeyi	kymyleegi	kumuldsyj
mubikhola	mubishola	mubikuoka	muniuhola
mulekha	muleiha	muisuha	julbkha
bamenyayo	bazenyayo	mamebyayo	hanwnyayo
khuwawo	khuwaio	ihhwado	khkwqwo
kali	kale	kali	mami
mwasaalikhile	mwasaalikhils	nwadzaliuhile	mwasaaoikhils
uwundiililekho	uwundiilioekho	ueunriiloiekho	uqjmdiilikekho
bubwiyikinwa	butwiyikinwa	buvwlylkinwx	bibwoyioijwa
nabaroneele	nabaryneele	jabaronrrle	nxbarkneele
isho	ishoe	isyl	isho
induumemo	indxumemo	ifduumeml	induumqmo
basesaba	tasesaba	gwsfsaba	badesabw
babasontsoola	babasontdoola	bavaekntsoolz	bwbasintsoola
shawamba	shawambu	qhaesmba	shqwwnba
n'umukayi	n'umukkyi	n'umukxyj	n'umhkagi
n'amukana	n'amukanaz	n'qmukana	h'akulana
mwikyesa	mwikyesf	mqjkjesa	kwikuesa
muwaneyo	mswaneyo	huwanzyo	juaaneyo
kholelela	knolelela	khllrleia	oyolelepa
indibarumanila	ildibarumanila	indibafumanilz	kndibarojanika
ibukwa	ibrkwa	ibjowz	kbukww
eshebukha	eshebukhr	wshehuiha	eshevukhx
bukhafu	bukhafug	hukhagj	bukhavu
lukana	lukanal	uukans	lykana
byafwana	byafwana	hyqfwzna	ftacwana
khwekhupilisamo	khwekhuwilisamo	khwekhilolissml	khwekhypikisamo
aŋoonaŋoona	aŋoonaŋbona	aŋoogaŋoohw	aŋoojaŋolna
sibawambiwakho	sisawambiwakho	civawambiwanjo	aibxwqhbiwwkho
shibakholewele	shibakholecele	snibdkholewelw	shibakhokeasoe
nalomakho	nalomakho	nalknakhl	nzlomakho
khunywakho	khunywatho	khungwamho	knunydaoho
bimale	bimalx	bjmale	bimame
khukhandisa	khukhandgsa	khukhxndizz	khhohqndisx
arusewo	ardsewo	qfueewo	aruseao
akha	dkha	auhx	anha
khutubaasa	khutubaara	khktubaaax	jnuthbaasa
kukyeenga	kukleenga	kykyefnna	ojkyednga
umenya	umenea	jmentz	unenhw
naraamba	narwamba	nsrxxmba	uataamba
kulikho	kulimho	iuoikho	kupiluo
liri	qiri	kirj	lldi
bakuuka	wakuuka	bqkujia	bqkjuka
wantsokesile	wantsoaesile	eantsokesime	wqbtskkfsile
bibaboolelwa	bibaboolelwa	bibaboolelwa	givxboolflwa
mwareerebwile	mwmreerebwile	kwqreerebwjoe	mwageegendile
mushiili	mushiilip	mjshiiil	myshklli
babaama	babafma	habaxma	bqbxaka
byabola	byabolaq	byauolq	byafola
ukhikhola	ukhikhxla	jihikyola	kkhiihila
indyoolelesa	indyoolelesas	indyiklelsea	ondylooepesa
anyalile	ahyalile	agyakilf	znhslile
ubaloleelela	ubaloleehela	ubxlomfflela	kbxloleelela
n'amuusakho	n'amuusakhc	m'amkusakhl	n'amuhsajhl
sikyafuna	cikyafuna	dikyafina	zikyagunx
wiyalile	wiyalilew	wkyaliof	wiyslile
khubaŋoonaŋoonela	khubaŋoontŋoonela	uhubaŋoonaŋikhelw	kguhaŋoonaŋoonslw
babemunyakasa	babemjnyakasa	babdnunyzkaza	babejujuzkasa
wakifukiilila	wahifukiilila	wakkfukiklikw	wqkifuiiiluoa
ubawo	ubaoo	ybado	yvawo
khukhukanikhayo	khukhukanikhdyo	khjjbukanikhayk	khulhuksniknayo
simulimo	simulumo	sihuoino	sihuljmk
shibe	shixe	xhife	ayibe
itubukha	dtubukha	itibjkba	itunlkha
bebulebe	bejulebe	behuosbe	hevulebe
ukhubimbuliile	ukhubimbuliilo	ukmubimnupikle	umhubumbjllile
khwashimanya	khwahhimanya	khwxshijwbya	knwqshimanys
loma	lopa	komz	oomw
ushimanye	ushimanle	ushomanyr	yshikanye
beyike	beyikey	beyjme	heyior
khulaangila	kzulaangila	uhulwxngila	ohuoaangima
khubaama	khubasma	ohubaaya	itubaaja
kirura	kgrura	morurz	korurz
sabato	sabnto	sagqto	swbqto
gafana	gafanaz	nafqga	yafaha
liyabi	liyabis	logabl	lugabo
ashuukha	ashuuiha	asmyukhq	vshuukha
owo	ewo	oso	iqo
belukhe	beluuhe	femukbe	beoukte
s'anywakho	s'anywakhoo	s'anysakji	z'anyqakho
kale	kale	ualr	kaid
bakhakheba	bakhakheba	nakhakhwva	baihakbebw
