n'atugamba	n'atugambay	n'atugshga	n'atigamba
munnammwe	munnjmmwe	junnqkmwe	mknnxmmww
olw'ebweru	olw'mbweru	olq'ebqefu	olw'ebwerk
bazikirize	bqzikirize	bazikirizv	bazikiryxe
mukyawe	mukybwe	jukyasd	nukyaee
ey'omwaka	ey'omwkka	ey'ojsaka	ey'omwqkx
okuumenga	okuumfnga	okjumenca	omuumwhga
bamujjira	bamujjdra	bayujjura	bamujjlrx
okuzimbira	okszimbira	kkusumbira	okuzimgira
anaamusasulanga	anaamusasulanga	anqanhsasulahha	ajsamyszsulanga
okutuyamba	okutkyamba	okufuyamnq	ojutuyamba
w'oli	w'oqi	w'olo	a'kli
firipi	firipj	digili	fkdopi
babasembeza	babasemleza	babaadmbexa	babzsejbeze
gw'omwavu	gw'xmwavu	gw'inwsvu	gq'omwavu
yasamanga	yasamaega	jasamanya	yasamzngw
ndiwalulira	ndihalulira	ndidalulira	hdiwalumira
otufuula	ofufuula	otlfuulq	oyufuuls
essatu	essqtu	dssxtu	excati
obulwa	obulwi	ibuoda	obylwa
bamukwasa	bamukwama	bamulwsca	vamukdasa
ndiwalana	ndiwhlana	mxiwalqna	ndiwalata
obujulirwa	obujutirwa	obuhipirwa	obujulorws
ng'ono	ng'onoq	jg'iho	mg'pno
yesisayi	yerisayi	yedissyi	yesieayy
olusuku	oxusuku	oluaimu	pouzuku
ez'obwereere	ez'obwereore	rz'ovwefedre	ez'obweeeede
balirinnya	balirinnyr	baliglbnya	vzlirknnya
okutuma	okutama	oihruma	pjutkma
abe	abv	abd	qne
perugamo	perugabo	perurago	oerugwho
kedali	pedali	kexxoi	usdaki
ez'edda	ez'eddaw	ez'sdda	sz'rxda
okukuteeka	zkukuteeka	okjkureema	okukudeekw
boonoonese	booloonese	bolmoojese	foonoinfse
yanziya	janziya	ysnzjyx	yanxiyq
tegaliraba	tegalzraba	tegzlurafa	hetalirwba
ng'ezabbibu	ng'ezabbinu	hg'fzabbibu	ng'ezavviby
ebituadu	ezituadu	rbitjafu	ebiyuqdu
ly'omulenzi	ly'omuxenzi	ly'omulrnao	ly'ojolenzo
peetero	peeterm	pedteto	pertrto
nnabalagira	vnabalagira	nnagalwgirw	hnabslsfira
n'ategeeza	n'ategepza	n'stererza	n'ategeezz
mweraba	mweraba	hdsraba	mwefaba
olw'ekibiina	olw'ekimiina	olw'ekikiina	ols'wkibkina
ndibaweerezaako	ndjbaweerezaako	ndibxwwdrdzaako	nvibaweerezaamp
alibasinza	alibakinza	smibaslnza	xkibasinaa
newankubadde	newankubadje	newzmkunaede	neramkuvadde
kemani	kemdni	menagi	kemang
ekyaka	ekyako	ekkaua	ekyaka
baatambulira	baatambulirap	fxatamhklira	vqayambulura
beseri	bwseri	becedi	neseti
kutta	kutja	iufta	kurts
balisuulirwa	balisuulirwr	balisyklitaa	nalisuukirea
kitikkiro	kikikkiro	kitiomiro	kitiukiel
okw'ensonyi	oks'ensonyi	okw'ensjnyu	okw'ajxonyi
talirumenya	taliuumenya	yalirknenya	talifuhebya
lw'omuliro	la'omuliro	lw'imuliro	lw'omullfo
zibala	zbbala	sibalz	aifala
n'abagenyi	k'abagenyi	b'abafenji	u'abagenyi
basatu	bashtu	nasayy	bacahu
zzadde	ozadde	zxawdr	szadse
omubuuliriranga	omubuuluriranga	imubuulidiganta	omjguulieidanga
olw'obwenzi	olwfobwenzi	olw'onwejxi	opw'obweyzi
ononneegaana	ooonneegaana	oninnrdgaanq	onknnefgaanz
kizaala	kizaata	kiswama	kizaspa
koowoola	koowohla	jiiwoola	kiowpola
pereti	peretz	perevi	ldrrti
okubuulirwa	okubuulinwa	okjbuuliesa	okuhhulivwa
omunaamasi	omunaadasi	omunaamaay	omunaamazj
gunyooka	gunyooia	yknypoka	guggoooa
okufuba	okufubay	okuvuta	kkufubz
n'atuggya	n'atuggyh	n'atyggya	n'ztuhrya
kyekiriva	kjekiriva	kyeojriva	kyekiguva
ngoba	ngobaj	ngonw	myona
banaki	blnaki	bakali	barami
kko	kko	kkp	kkp
olubiri	olubini	llubirj	plubigo
n'agezaako	n'agezaakou	n'ayezawko	b'agezasko
egyabaawo	egyabaalo	ehyagaxwo	egyavaawi
okolenga	okqlenga	kiilenga	omplenga
eyazaala	eyczaala	dyazaaox	eyazsalz
semiramosi	semvramosi	semiramiwi	sfmiramoci
ekigambo	ekigambv	wligambl	dkinambo
omusaale	omusaali	omuwawlr	omucqame
birirekebwawo	birirekebwvwo	birjgekdbwawo	birirgkebeaqo
tebaliziikibwa	tebalizxikibwa	tfbalkziikibwa	tejalizlikivwa
eyita	xyita	ryifa	eyjte
n'aliweereza	n'aliwrereza	n'aliwreeeza	n'aliaewreza
n'eddobo	n'edhobo	b'eddlbi	g'edvobo
amata	anata	ahatq	amwta
n'omugabo	n'omugabr	n'kmunabo	n'onugabp
ebinnema	ebiwnema	ebinbemd	evinndmq
kw'abalenzi	kw'kbalenzi	kw'xbwmenzi	mw'abalwjzi
lirabye	liralye	lkrxhye	lurzbje
abaatabaala	abaatabaalo	abaatwbawla	abqwtabaxla
togendanga	togendanka	totrgdanga	tigfndangq
ezitaggwaawo	ezitaggwaawl	qzltaggwaxwo	ezibahgwaawo
aaye	aayeb	xzye	azue
akalituuka	apalituuka	aialitiyka	zkalitjuka
enayumba	enayumbi	dnabumba	enqyjmba
boonoona	boonozna	bmonolna	boojooja
kiyimiridde	siyimiridde	kiuimidiwde	miyumirmdde
tokuŋŋaaayanga	tokuŋŋabayanga	tokuŋŋxazyanva	tokhŋŋaawjanga
amesusito	aresusito	amdsusitj	ameqjsiyo
alunoni	adunoni	zmumoni	wlunomo
baddukanira	baddukangra	bqdcukanira	baddumanixa
nkuŋŋaanyiza	nzuŋŋaanyiza	hiuŋŋsanyizz	nkhŋŋaanyuss
kuwedde	muwedde	luaeddf	kheedve
omuyisuli	omuyisulm	omuhiduki	omyyixulu
alyetikka	akyetikka	algdtijka	xltetikkw
bbaawe	bbaave	braade	bnaawd
okukuusakuusa	okukgusakuusa	okukuucakyksx	ouukhuxakuusa
ziggwaawo	ziggwaawoa	zjggwaaak	ziggwaawm
kuziyizibwa	kuziywzibwa	ouzijozibwa	uuzijizubwq
galiba	gariba	gaoobx	gaminw
ky'omwana	ky'omhana	ky'omdanw	oy'omwanx
tebaagala	tebaagala	gebaxgala	tebaagsos
uzi	uri	uzu	uao
okusaanuuka	okusagnuuka	oousaxnuuka	ikhxaanuuoa
gamera	ganera	bzmeta	hamrrs
n'oluzzi	n'oluzzir	g'oluzai	j'oluzsj
emivumbo	emivunbo	fklvumbo	smivimbo
abiri	abiti	zblri	xbitj
n'atunuulira	n'ktunuulira	n'qtunuulurx	n'qtunuimita
okutuukiriza	okutuukiriza	okutyjujriza	ikujuukitiza
byo	bto	fyo	bhl
ndikola	ndimola	ndokoow	ndkmoma
yaliko	yaliro	talilk	yaljko
okwetikka	akwetikka	okwrhikkw	oksstikka
kyenva	kyenma	kywbvw	lysnvz
afukirira	afusirira	afukmfira	afumlrira
baasuula	baanuula	baesuhla	bxasukka
omujjukiza	omujjukizar	kmumyukiza	onujjikisa
lebbeeka	febbeeka	lwbfeela	mwvbeeka
bw'eyawukanamu	bw'eyawukanfmu	ba'eyasykanqmu	dw'etawukanxnu
balibayita	balibayitw	ballbaykta	balibayjfx
n'amawaggali	n'amawaggkli	n'amawaghaoo	n'amawagfaki
tanula	manula	fqnuia	yahuia
b'amateeka	b'amatezka	b'akatdekx	b'amaceeka
munaagaananga	munaawaananga	hunaagasnxbga	munaavaansnrx
mbalagira	mbalaqira	mbaoagifq	mbwlagkra
alimuyimusa	alimuyxmusa	alkjuyumusa	amjmugjmusa
omulonde	omulondb	omulonre	omulpmfe
omukadde	omukadde	omiksfde	omukedde
ak'amafuta	ak'amatuta	sk'akaruta	sk'xmafkta
okuliira	okuliira	okuluirw	okunilra
baffe	baffl	bzefe	bqbee
ng'empungu	kg'empungu	ng'emlunnu	ng'emojngi
zinaatera	zgnaatera	zinaatefw	ainaatdea
nneebazanga	nneebazanua	nneebazabga	nndebazsgga
mundeetere	muddeetere	hunxeehere	kundesters
okunnyamba	olunnyamba	kmunnyambq	okuhngajba
ekitundu	ekitundu	ekitynsi	emltundu
okugibawa	okugibaja	okuhjbasa	okugibaza
bakema	yakema	naieka	vakenz
tukube	bukube	tikufe	tukuhd
ng'omuzabbibu	nguomuzabbibu	ng'omuzxfbohu	ng'omizqbbjbu
okutya	okutyk	ojktua	okutja
abanyaga	abanjaga	ahantara	zbanyara
azaaye	azaayp	azfaye	wzaaye
yezeeri	ypzeeri	fezeeri	yrxeerk
ndiyinza	ngiyinza	ntiyijza	nditijza
agatambula	agatambulal	arwtambulq	agxyambulz
tanukumesi	tanukufesi	tanykuhfsi	fanujumwsi
ey'okwebaza	ey'okwwbaza	eh'ojwebasa	ey'oiwdbasa
ekikolo	ekfkolo	wmijolo	smilolo
ng'atendereza	ng'atenoereza	mg'atdnderwxa	bg'arejderesa
okundowooza	okundowooza	lkundjwooza	okumvoqooza
n'aziikibwa	n'azigkibwa	n'aaiimibwa	n'xziokibww
yeekakaabiriza	yeekakaadiriza	yeekqkwzniriza	yeejakaafogiza
enjagi	enjagi	ehjagn	wnjayi
baayagala	baayagada	naquagala	bqxysgala
obuwesiyopya	obuwesiyopyas	obkwesiyokya	obuwssiykpua
teyantuma	tzyantuma	geyagfuma	teyxmtuma
eky'omukaaga	eky'omukaagao	eky'pmukaaga	ekh'omuiaaga
ssanyu	ssanou	sswmyu	sswhyj
gukunta	gukuhta	gkkinga	rukjnfa
kazalenaani	kazolenaani	kzzxlrnaani	kaaalefxani
kinnerosi	kinnewosi	kihnegosi	kibndfosi
n'anywera	n'anyweral	g'anyqeda	n'amydera
n'agobamu	n'agosamu	b'agobamu	g'agovamu
bw'oyagala	bw'oyaghla	bw'ohagsla	bw'oywgqla
mayu	mayuj	nzyu	mayi
ez'amawanga	ez'atawanga	ez'qmawangq	dz'ajaqanga
y'endagaano	y'endagaato	y'enragaanl	h'enxsgaano
eguloni	eggloni	egulonu	eguikhi
yalagaanya	yalagaawya	yzlwgaanya	uzlavaanya
kiwulire	kiwulipe	kuwilirw	mkwilire
okuddizaawo	okuddlzaawo	okuddizxswp	okuwdkzaado
nneegomba	nneegomva	nmeeglmva	gnedgomna
kakyogedde	kakyogeddey	kaorogedde	kakypgedde
ekiriko	ekirtko	dkiriio	fkoriko
libuze	libzze	kiguse	llfuze
abakwesiga	abakgesiga	abaksesigw	abqlwesigs
mubuulirenga	mubuulirenea	mubiulkrfngq	mhbuulieennx
aliyinza	aliyinzab	aliyknza	alkjinzw
n'okusasula	n'rkusasula	n'ikusaskoa	g'okhsasulz
eky'abakulu	eky'ibakulu	rky'zhakulu	eky'qbslulu
naafuluma	ntafuluma	naafjluma	maafuluma
tebiseereranga	tebrseereranga	tebiseereyxbga	tebisawrsrwnga
buyonaani	blyonaani	bhypnaanu	buhogsani
baliweebwa	baliweeywa	bwpiwesbwa	bapuweebwq
amateeka	amaceeka	qmqteeks	amaterkq
nnaanywegera	nntanywegera	bmsanjwegera	hbaznywegwra
kitoogo	kitorgo	kktopgo	kkrooyo
ng'omwana	ng'omwaoa	bg'ouwana	ng'omdanq
antuuzizza	antuuzizza	qmtujzizza	antyusizza
nayina	aayina	nayoka	nayuna
akunyoomye	akunyoomyeo	amunykomyf	aiynyolmye
tebuliimu	tebuliwmu	trbymiimu	hebulkimu
batabalaba	batabqlaba	hstabalsba	batabwlqba
kubalaba	kubalabp	lubwlwba	kubalabq
ezaali	ezaalio	ezwali	ezaxli
ketula	ketuba	ketjlx	kefulx
anunula	anunuoa	snunukz	zjunuls
asigadde	asigaddz	adiyadde	asifxddw
mmuwonya	mmuwoqya	hmjwknya	mmuxogya
anaakulokolanga	anaakulzkolanga	wnaakhlokilabna	anaakullkolxjga
bw'alifaanana	bw'alifarnana	fe'alkeaanana	bw'alifaahaja
ng'ogamba	nj'ogamba	jg'ogatba	nf'ohambq
nziyaako	nzmyaako	bziyasuo	nzigaauo
lutabaalo	lutabyalo	lutafawpo	lutabaslo
ekikondo	ekikondb	dmijondo	ekkkkndo
kinaakolebwanga	kinaakolebwabga	kijaakokebwcngw	minsakklebwangz
ekitongole	ekitowgole	ekitijgoke	ekitobgioe
abamuli	abamcli	wbamylo	abajupj
n'obulamu	n'obulamub	n'ogulaju	m'obulamh
n'okuyimuka	n'okuzimuka	n'okhgimukq	g'kkkyimyka
omanyi	omanya	omajhk	omanul
muggya	mcggya	mugtjw	mkgvya
n'avuunama	n'avvunama	n'avuunzma	n'zvuunaja
tannafa	tanwafa	tannacq	tsnnaga
eroni	efoni	erlnj	wrjni
kikyaliwo	kikyalido	jikyalkwo	kikyxljwo
olunwe	olmnwe	iligwe	olunwx
okwambula	okwambulaa	okwahhyla	okaamnuoa
temugendanga	temuyendanga	remugendajga	temugdnwqngw
anaayingiranga	ataayingiranga	anaayingjfqbga	andajlngirangs
bw'olubaawo	bw'olubrawo	bw'olubsawo	bw'llubaawo
kubeeranga	kubeeranaa	kiberragga	kjbeerantz
n'aggibwa	n'agdibwa	n'agfibwz	n'wgfigwa
akuba	akgba	amufa	xkkba
biro	bivo	birn	nlro
siiriire	seiriire	xliriirs	dioriide
omusonyiwanga	owusonyiwanga	omusomyiqahgs	kmusknyiwsnga
baamufumitira	baamufumitira	bawhufumitorz	baamugjmotira
anaawonyanga	anaawonyanaa	anawwonyabma	anxzaonyxnga
egy'oluggya	egy'ouuggya	egy'ologrya	egy'olhggya
gy'abaddu	ge'abaddu	vy'abawdu	vy'abadvh
okunooaya	okunoiaya	lkunooqta	kkjnopaya
omutonzi	omuttnzi	omhtonsl	onitonzi
n'enkuffiira	n'enkuffizra	n'ebkiffoida	n'ennuffiifz
temunnagiyinza	temunwagiyinza	tenunnaroyunza	temunnavjyihzx
n'amusaba	n'amusabar	n'amuvaba	n'smussba
ng'atudde	ng'atodde	ng'qfudse	gg'atkdde
bizzibwa	bizwibwa	biszkgwa	vizzivwa
bambadde	baxbadde	bxmbzdds	bamgaddw
kirongoofu	kirongoofuw	kirongplfy	kidonboofy
baatya	baatka	gsatyx	bqqtyq
kinaayitangamu	kinauyitangamu	kinaayitamgahu	kinaayohwngaku
aa	ao	aa	az
okuzuukusa	okuzudkusa	ukuzuukuwa	okuauukuea
kyenkana	oyenkana	lyfnkxna	nydnkaga
wakuŋŋaana	wakzŋŋaana	aakuŋŋaana	wamuŋŋaqga
am	ami	am	an
azuukiza	xzuukiza	axuukjsa	azukmizq
alirwana	alirwawa	alifeaha	alirewna
kebwa	kebca	kfbwz	kdbqs
naakulayiza	naakulayizao	maakulayoza	naakulzylza
eyayogerera	eyayogernra	eyayogeeqra	wyayogwrera
tebaabitegeera	tqbaabitegeera	tenxabitegeeeq	tsbasbltegwerx
n'ayo	d'ayo	m'ayl	j'auo
maasa	mhasa	mxwsa	maszs
ng'ayima	ng'aycma	ng'zjlma	nv'ayimw
nnyingira	nnzingira	nhyinjira	jnyungira
n'abategeeza	n'abatugeeza	n'shatcgeeza	n'abategfezq
aligaba	aqigaba	smjgaba	zmigabw
emimwa	xmimwa	wmojwa	egumwa
n'atabaleka	n'atabaljka	n'atqbaleka	n'atebaleka
b'ekkanisa	b'gkkanisa	h'ekkwbisa	f'enkanisa
bakyokya	bakyokyae	gakyokgx	balyokyx
jjubiri	jjubird	yjybkri	ijubufi
ery'omu	egy'omu	efy'oyu	eej'omu
aligamba	aligamja	apygamba	siigamba
bagulumizibwa	tagulumizibwa	bxrulumixibsa	bwgukujizibwa
eridda	eriddac	drofda	etldda
muyima	mubima	mkyima	mujiha
baleese	balbese	galdess	bxlefsw
otwala	otuala	prwaia	kgwalz
w'ekigere	w'eligere	e'emigere	w'ekigede
g'omusirusiru	g'omusirusifu	g'pmueirisirk	g'kmusiruwiru
ag'omukozi	ag'omukosi	ag'lnkkozi	ag'omlkozi
linnaalyo	lqnnaalyo	linnaaiio	lignwakyo
ez'okutya	ez'okgtya	fz'ukutya	ez'oojtya
mumulabye	mubulabye	munulahys	juhulabyw
yeetikke	yeetikkj	yewtinkf	yeefiike
zuwaali	zuyaali	audxali	znwqali
ntuumu	ntuumuh	hfkumu	mtjymu
ezinyooka	ozinyooka	ewinyopka	ezinyokua
bampadde	bampydde	bamladxf	bamkadde
kingi	kqngi	kinhj	kibgm
okumulanga	okumufanga	okymulangs	okumulagba
ky'atuulamu	ky'atuulamp	ky'atuuoxmu	hy'atyulamu
onoosimbanga	onoosimbtnga	inikskmbanga	oboosjmbsnga
nnyoomebwa	nnyoomegwa	nhyoojebsa	nhtoomdbwa
ery'okubiri	eryrokubiri	egy'okublri	sry'okhbori
zeresi	zeresy	zeftsi	zsfesi
ageetoolodde	agoetoolodde	aveetoikorde	arwegiolodde
kiri	kbri	liri	kihi
baa	bay	bas	fax
bajjajjange	bajjajeange	vajjajjabve	bajkzhkange
ab'embiro	ab'embkro	ab'emvito	ab'ehbirk
oyambale	oyimbale	kyambwls	oysmbxle
kulyoka	kulyopa	kkljoja	kymylka
yafuluma	yatuluma	ysvhluma	jaduluma
n'oyingiza	n'oyingizb	j'oyingizx	n'pykngiza
babaddamu	baaaddamu	baraddaku	nabaddamo
babituulamu	babituulamw	bsboguulamu	bzvituhlzmu
tusanyuke	tusanyjke	tixanuuke	tusanrkke
walyoka	jalyoka	waljjka	walyokq
libagamba	libagamua	libagsmha	libwgshba
ng'abuulirira	ng'abuulirirf	nu'aguulirura	nr'abuulkrura
byewuunya	fyewuunya	fyewuynys	byewuunga
age	agev	ane	agb
abaasibirwa	abaasimirwa	ahaasibirwa	abaasofurwq
mulirumwa	muuirumwa	nklirjmwa	mupirumwa
gaabwe	gaabbe	gssbwe	gzabde
ranga	rangai	rxbga	rqnga
gwagwo	gwagwo	nwabeo	bwagwo
w'ennanga	w'ennanxa	e'engagga	e'ennxnga
ng'akyanyumya	ng'akianyumya	ng'doyanyujya	gg'qkyqjyumya
balyonoona	balyonkona	valyonllna	valypniona
nkaabira	nkaabirag	nksavirz	nkzabiga
n'obwezinge	n'obwezingy	n'onwezuhge	n'ohwezonge
olibakolera	olibakolema	llibakoleda	klinalopera
abasanyuka	abasanyuks	xbaswnyukw	abxaanyukw
tebakyayanukula	tebakyazanukula	iebakyayanuuula	tebxigayajukulz
bw'asaba	uw'asaba	bw'zsabw	bw'aaavx
okugula	okugila	ouifula	ikigula
akimu	lkimu	akikk	zkimu
ennune	hnnune	engynd	ennubt
nalagaana	nalagaala	nzlzyaana	namabaana
kusimu	kwsimu	uisimj	kuainh
binaaba	binalba	bjnxsba	ginaaba
okuyimba	okuyimbax	omuyokba	lnujimba
nkwe	nkne	nnwr	nkae
tubenga	iubenga	tkbenvs	tundnga
ekitabulwamu	ekikabulwamu	ekktabulwzhu	ejitabulwamu
busika	busikar	fkskka	busioq
munaawulira	muoaawulira	minaawulira	jugaxwulirq
ekinaagwibwangako	ekifaagwibwangako	ekkraavwibwangqko	tkinaahwibwantqkl
walonda	walonda	wslknxa	walondx
alitunuulira	alitvnuulira	wlitunuulura	alitknjulies
abayise	abayiseq	agatiwe	qbayide
okumuvaako	ofumuvaako	ouumuvwxko	okukjvawko
nnywa	nnywav	njyqa	jgywa
mugguleewo	mugguleews	mutgylwewo	mufgilfewo
atabadde	atabaddev	ahsbwdde	ayabadds
muyinza	mtyinza	muhinza	nyyunza
n'ebiremba	n'ebiremaa	n'ebjdemba	n'ebifemba
eyamukuba	eyamqkuba	eyzmuikba	ehzmukubz
kyebajje	kyebaqje	nyevsjje	kyebajhw
abaazaalirwa	abavzaalirwa	xbaazasliewa	abaazwalprwa
b'obubi	b'obubiq	b'ohubk	b'onubj
addamu	addanu	adwahk	zxdamu
onoogamba	onqogamba	onoorahbz	onlogamba
ng'obuliga	nggobuliga	ng'objliga	ng'ibulivq
mumusinze	mumusznze	junusinzr	mumusibse
okubatangirira	okubafangirira	okkvaramgirira	pkubsrsngiriga
n’abo	n’abot	n’xbp	n’ahk
mbiwadde	mbiwaddeo	mbiwavde	jbiwafde
ebisusunku	ebisxsunku	dgosusunku	efosusuhku
n'alya	n'ayya	n'apya	n'zlys
kino	kinf	kigo	kimo
n'abatuusa	n'abatuuva	j'abaguuwa	n'anatuusa
olw'omuntu	olw'omontu	old'obuntu	olw'khunru
eby'emirembe	eby'emvrembe	eby'emigsmbr	eby'fmurrmbe
wonya	wocya	wknys	wogtz
alegezanderiya	alefezanderiya	alegezabderuyx	alwgezwvderiya
luliba	luriba	luiifs	luligx
y'obwakabaka	y'obwakobaka	y'ofwakahaka	y'obdakafska
n'ebyatimbibwa	n'ebyaximbibwa	n'egyctimbibwa	n'ehyatiubibqz
taleka	waleka	naleks	talrks
eryali	eryalid	efydli	frjalj
okulamusa	okulrmusa	pkulahusz	okupxmusq
oddeyo	oddexo	pdvego	oddrjo
aliyingira	aliyingirat	apuyungira	aliyjngura
nkwebaza	nfwebaza	nkwdhazs	jkwevxza
onoo	onox	onjo	pnok
ekisala	ekisara	akisqla	ekiszlx
anaabaluŋŋamyanga	anaabaluŋŋamyangf	anzavaluŋŋsjyagga	wnaabaluŋŋsmyangs
sirowamu	sirowami	sirowxmu	slrowaku
amanyibwa	amanyibma	ahanykbsa	amanylgea
alirya	ulirya	allrya	amirga
kyeyongerenga	kyeyonlerenga	jyeyovgerenta	myeuongetrnga
n'agituuma	n'agitnuma	n'xriruuma	n'xhktuuma
ajjuzizza	ujjuzizza	atjuzisza	amjuzizzx
by'okoze	by'owoze	by'ikosf	vg'okoxe
esooka	esooka	esoins	espina
olw'enjiri	olw'enjirik	plw'enmiri	ooa'enjuri
mbawonya	mbawonyac	mbawonyz	mbaeogyz
lukiiko	lckiiko	likjino	lumkilo
ndibakomyawo	ndnbakomyawo	bdkbakojyswo	ndibakonyzwp
okimenye	okiminye	kkinegye	okimfnye
n'ayasamya	i'ayasamya	n'aysxamyz	n'xyxwamya
nineeve	nioeeve	bundeve	nihsrve
alijjuza	zlijjuza	alihjizz	alijjnzq
n'eddalu	e'eddalu	g'fxdalu	n'eddaly
ennumba	enzumba	ehnuhga	ennunba
n'okulasa	n'okulala	m'okulasx	b'pkulasa
onsanyuse	onsansuse	onsanyyef	obdajyuse
biggweerawo	biggweerawx	bigvweeraai	biggwfrrawo
n'asimba	n'asimbas	h'aslmga	n'xximba
ng'embuyaga	ng'embuyagao	ng'embmyaga	nb'embuywgz
ng'eby'olubereberye	ng'eby'oluberiberye	mb'eht'olubeeeberyd	nt'egy'olubegebeeje
n'akyamya	n'okyamya	n'zjyahya	n'zlyanya
ebyagwa	ebyajwa	ebyzbwa	ebyagvz
abafuga	abafugaz	abaruga	abxguba
namanya	namznya	namwbya	namanta
ey'abafirisuuti	ey'abafirisuuth	ey'abwfirisujru	dy'abafidishuto
amasanga	fmasanga	amaqqngz	amasangx
samwiri	samwirq	swmwici	xahwirl
kasiriivu	kasirsivu	maqirikvu	kxziriicu
yasookerako	yasnokerako	jasookegamo	uqdookerako
amakumi	amukumi	amdkimi	smanhmi
n'asonyiwa	nsasonyiwa	h'aspnyjwa	n'aqonylwa
nnwana	nnwanj	nnwzma	hjqana
makulu	makuls	mamunu	nakuik
y'amateeka	y'amaxeeka	y'qmateena	u'ajzteeka
tabeerera	tabeereoa	tabrsrwra	tanedrwra
ageegulumiza	aueegulumiza	ageeruiumiaa	agefrulumoza
n'abataano	n'abataans	n'abataqyo	n'abxtaani
bw'aliraba	bw'alivaba	bw'allgana	bw'aliecba
ebyeru	ebyeruc	emyefu	wbyeeu
n'ayigirizanga	c'ayigirizanga	u'ayigieizanga	n'aylgkriswhga
kikka	kikkh	kihka	kikhq
ndigamba	ndagamba	ndugamba	ndlramva
omusunammu	omusunammz	omusunzmmu	omusubammu
awengayo	uwengayo	zwebgaho	aqfngago
n'omuto	b'omuto	j'omutl	n'omugo
